# x
4.41,-5.25
7.50,7.63
-4.70,1.12
-10.44,5.33
1.90,-6.08
-10.46,5.48
8.35,8.13
3.34,-4.34
2.08,7.44
-4.30,2.65
3.75,-6.86
-5.35,2.00
-2.85,2.10
1.30,-5.51
2.31,4.98
-9.59,4.96
-9.68,3.50
-9.25,4.35
3.70,-5.29
3.31,-6.73
9.43,5.16
-3.47,-0.39
7.58,6.04
0.70,7.42
-9.06,5.22
2.13,8.07
4.07,8.35
-8.22,2.01
-3.96,1.35
-9.61,4.00
-2.01,1.14
4.87,-4.89
-2.67,-0.62
8.67,4.51
-8.01,4.65
1.77,6.76
9.12,6.01
-4.44,0.97
-10.11,2.89
9.04,6.95
-9.00,4.67
6.84,7.13
-2.56,-0.51
2.29,7.17
-11.22,4.94
2.82,-6.19
8.43,6.16
4.46,-6.97
8.85,4.56
1.97,-4.48
4.30,-5.97
6.55,7.15
-10.57,5.03
-1.88,1.08
1.46,-5.60
3.71,-4.46
2.52,-6.14
3.94,-5.27
6.68,5.15
-7.92,4.38
-2.48,0.50
0.79,6.74
-2.30,0.56
2.43,7.87
2.76,6.25
-2.53,-0.34
6.13,-8.65
3.01,-5.59
-8.73,3.55
2.96,8.98
7.70,5.92
-10.22,4.26
5.07,5.86
-3.01,0.50
-10.43,2.79
-9.13,2.68
-9.03,2.63
2.15,8.45
-1.84,1.99
8.95,8.49
-0.20,7.83
5.56,7.78
7.65,6.75
8.77,6.31
2.15,-6.64
-3.88,0.84
3.98,-5.12
1.90,5.68
-2.19,2.90
2.59,-4.49
-3.26,-0.05
7.29,7.62
-8.91,4.10
4.16,-5.84
-2.71,0.54
-9.73,4.88
-2.03,-1.38
-9.76,3.03
-10.73,3.22
8.00,6.93
1.30,-6.17
-9.61,4.90
2.34,6.25
0.73,5.86
-4.58,-0.30
-3.81,0.85
-9.52,3.19
-1.83,0.10
0.85,8.08
-3.32,1.50
3.90,-7.57
-10.30,3.33
3.09,-6.12
-9.50,3.25
-3.55,-1.22
-1.85,1.54
-8.80,3.08
-1.20,-0.09
3.70,-7.16
-7.87,2.90
-9.40,5.95
2.15,-4.95
-1.42,-0.14
-6.92,4.28
3.27,6.45
1.72,7.66
-3.20,-1.20
8.83,7.91
-2.94,-1.45
7.62,6.71
7.13,5.92
-11.07,4.07
8.24,6.80
4.69,-7.99
-2.72,-0.45
3.89,-5.90
-4.14,-0.58
-9.65,5.25
-2.59,1.38
2.80,6.88
1.15,7.96
5.44,-5.62
-9.00,3.61
2.48,-5.87
-3.79,1.76
2.00,7.52
2.12,7.41
-3.45,0.61
3.32,-7.69
-8.47,5.42
-9.07,3.95
0.82,7.39
3.81,7.63
-2.47,0.19
-9.12,5.31
8.87,7.28
-1.71,1.39
1.65,10.17
-9.15,3.78
4.85,-6.39
-8.57,5.12
-9.25,2.57
-2.76,-0.04
2.23,8.43
8.45,5.46
2.36,-6.40
2.92,8.40
8.30,7.94
-2.79,-1.09
-3.68,0.49
-0.08,-0.23
-1.96,0.94
-2.26,0.33
3.12,-6.34
9.36,8.01
-4.02,1.56
5.54,-7.18
-2.57,0.34
-10.01,3.85
6.36,5.97
6.10,-7.22
1.18,9.19
