# x, y
0.04,200.33
0.69,193.21
0.94,182.86
0.89,185.88
0.08,200.92
0.41,199.16
0.28,200.92
0.06,200.72
0.55,197.26
0.24,201.24
0.41,199.69
0.79,189.60
0.44,199.44
0.04,200.60
0.52,197.52
0.24,200.79
0.22,201.01
0.10,200.96
0.74,191.27
0.41,199.87
0.35,200.40
0.18,201.76
0.85,187.43
0.37,200.20
0.75,190.94
0.90,184.78
0.52,197.96
0.13,201.24
0.17,201.03
0.24,200.86
0.29,201.02
0.93,183.39
0.88,185.43
0.41,199.61
0.92,184.13
0.18,201.27
0.03,200.62
0.25,201.29
0.55,196.68
0.82,188.89
0.21,201.72
0.37,200.10
0.16,201.50
0.86,187.38
0.14,201.31
0.64,194.95
0.74,191.70
0.89,185.56
0.67,193.68
0.59,196.37
0.71,192.28
0.32,200.68
0.96,182.40
0.48,198.49
0.81,188.55
0.81,188.65
0.36,199.95
0.74,191.66
0.71,192.81
0.59,195.75
0.07,201.03
0.60,195.35
0.47,198.81
0.91,184.77
0.27,200.57
0.73,191.63
0.78,189.70
0.73,192.30
0.96,182.54
0.15,201.69
0.78,190.30
0.82,188.32
0.72,191.72
0.84,187.34
0.43,199.20
0.16,201.81
0.78,190.39
0.25,200.79
0.21,200.79
0.49,198.37
0.16,201.32
0.10,201.45
0.91,185.17
0.89,185.41
0.22,201.17
0.89,185.47
0.18,201.53
0.67,193.72
0.25,200.68
0.75,191.42
0.09,200.80
0.66,194.46
0.30,201.14
0.29,200.94
0.89,185.89
0.53,197.52
0.81,188.65
0.76,191.08
0.45,198.48
0.37,200.48
0.38,199.82
0.01,200.23
0.77,189.91
0.39,200.04
0.44,199.41
0.74,191.47
0.94,183.40
0.27,201.17
0.05,201.14
0.18,201.35
0.49,198.64
0.90,185.69
0.95,183.23
0.26,200.62
0.82,188.20
0.49,198.25
0.49,198.15
0.72,191.78
0.90,185.30
0.78,189.92
0.36,200.15
0.04,200.42
0.48,198.63
0.82,188.29
0.94,183.42
0.28,201.14
0.40,199.95
0.10,201.13
0.51,198.30
0.44,198.75
0.32,200.41
0.19,201.40
0.87,186.36
0.50,197.52
0.71,192.91
0.94,183.27
0.10,200.93
0.75,191.36
0.19,201.18
0.44,199.12
0.21,200.95
0.68,193.48
0.92,184.41
0.91,184.53
0.43,199.51
0.72,191.68
0.95,182.68
0.02,201.10
0.19,201.15
0.47,198.24
0.30,200.63
0.18,201.12
0.02,200.86
0.36,200.04
0.89,185.07
0.59,196.26
0.23,201.57
0.18,201.23
0.34,200.20
0.02,200.53
